 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
261,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0230-0001-0040:c:1/2 t:230/241 - 1 - Position 5.Project Maximum Z,4.1745,3.0454,4.4620,3.0454,4.4620,7.4358,2.3372,2.2741,118.2813,0.9488,230,1.0277,0.9730,0.9491
262,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0230-0002-0154:c:1/2 t:230/241 - 1 - Position 5.Project Maximum Z,4.1019,3.9190,16.9330,3.9190,16.9330,7.5002,2.4518,2.1301,82.4447,0.9163,230,1.1510,0.8688,0.9417
263,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0231-0001-0040:c:1/2 t:231/241 - 1 - Position 5.Project Maximum Z,4.2592,2.9734,4.4944,2.9734,4.4944,7.5913,2.4439,2.2190,106.2134,0.9288,231,1.1014,0.9080,0.9424
264,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0231-0002-0154:c:1/2 t:231/241 - 1 - Position 5.Project Maximum Z,4.1261,3.6966,16.9247,3.6966,16.9247,7.4091,2.4984,2.1027,78.8300,0.9445,231,1.1882,0.8416,0.9538
265,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0232-0001-0042:c:1/2 t:232/241 - 1 - Position 5.Project Maximum Z,4.1503,3.1398,4.6676,3.1398,4.6676,7.5002,2.3501,2.2486,135.0306,0.9271,232,1.0452,0.9568,0.9423
266,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0232-0002-0153:c:1/2 t:232/241 - 1 - Position 5.Project Maximum Z,4.4649,3.7267,16.9327,3.7267,16.9327,7.7847,2.6105,2.1777,70.2010,0.9259,232,1.1988,0.8342,0.9523
267,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0233-0001-0042:c:1/2 t:233/241 - 1 - Position 5.Project Maximum Z,4.1019,3.0321,4.7204,3.0321,4.7204,7.3713,2.3399,2.2320,139.6579,0.9486,233,1.0483,0.9539,0.9496
268,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0233-0002-0153:c:1/2 t:233/241 - 1 - Position 5.Project Maximum Z,4.3076,3.7468,16.8844,3.7468,16.8844,7.6558,2.6193,2.0939,63.6679,0.9236,233,1.2509,0.7994,0.9481
269,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0234-0001-0043:c:1/2 t:234/241 - 1 - Position 5.Project Maximum Z,4.2955,3.0619,4.7540,3.0619,4.7540,7.6180,2.3619,2.3156,137.5388,0.9301,234,1.0200,0.9804,0.9392
270,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0234-0002-0153:c:1/2 t:234/241 - 1 - Position 5.Project Maximum Z,4.4286,3.7514,16.8919,3.7514,16.8919,7.8491,2.7076,2.0826,66.4392,0.9033,234,1.3001,0.7692,0.9494
271,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0235-0001-0043:c:1/2 t:235/241 - 1 - Position 5.Project Maximum Z,3.9688,3.1347,4.7005,3.1347,4.7005,7.2802,2.3335,2.1655,10.0761,0.9410,235,1.0776,0.9280,0.9466
272,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0235-0002-0154:c:1/2 t:235/241 - 1 - Position 5.Project Maximum Z,4.1382,3.7889,16.9892,3.7889,16.9892,7.5002,2.5435,2.0715,70.4762,0.9244,235,1.2279,0.8144,0.9448
