"frame","particle","area","x","y","major","minor","circularity","convexity","label"
76,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",14.3385,3.8785,14.1098,8.6668,2.1065,0.5,0.929,"hi"
77,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.2772,3.9504,13.1517,6.8232,2.1044,0.5754,0.9169,"hi"
78,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.0231,4.4456,10.7767,6.2324,2.252,0.6235,0.9286,"hi"
79,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.6445,4.7045,8.3398,7.9903,2.0149,0.5109,0.9159,"hi"
80,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.8779,4.4284,9.6896,5.5407,2.4997,0.7173,0.9458,"hi"
81,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.0196,4.0436,11.7797,7.9911,2.0744,0.526,0.9177,"hi"
82,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.1769,3.9371,14.1051,7.9878,2.1004,0.5178,0.9256,"hi"
83,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.2815,4.0783,13.5176,6.7738,2.3085,0.5565,0.8727,"hi"
84,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",9.3654,4.3463,12.4637,5.8417,2.0413,0.6342,0.9474,"hi"
85,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.6609,4.4567,9.1887,8.4342,2.0623,0.4924,0.9123,"hi"
86,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.5883,4.2174,8.5249,7.9184,2.1849,0.549,0.9258,"hi"
87,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",13.7577,4.3568,8.5146,7.2712,2.4091,0.6138,0.9293,"hi"
88,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.9868,4.3551,9.1639,5.8898,2.3751,0.6574,0.9021,"hi"
